Protein.Group,Protein.Names,Genes,First.Protein.Description,D:\2025NK010\2025NK010_EVCO_001_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_002_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_003_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_004_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_005_01_500ng.raw,D:\2025NK010\2025NK010_EVCO_006_01_500ng.raw
P63096,GNAI1_HUMAN,GNAI1,Guanine nucleotide-binding protein G(i) subunit alpha-1,405444,,1.78E+06,111041,,489891
P63098,CANB1_HUMAN,PPP3R1,Calcineurin subunit B type 1,3.91E+06,4.32E+06,4.56E+06,5.02E+06,3.88E+06,5.29E+06
P63104,1433Z_HUMAN,YWHAZ,14-3-3 protein zeta/delta,1.97E+08,3.10E+08,1.94E+08,1.67E+08,2.00E+08,1.90E+08
P63146,UBE2B_HUMAN,UBE2B,Ubiquitin-conjugating enzyme E2 B,144663,,336488,261825,353130,370063
P63151,2ABA_HUMAN,PPP2R2A,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,5.64E+06,4.72E+06,6.71E+06,6.38E+06,5.26E+06,4.55E+06
P63165,SUMO1_HUMAN,SUMO1,Small ubiquitin-related modifier 1,3.16E+07,2.36E+07,1.51E+07,2.13E+07,2.44E+07,1.88E+07
P63167,DYL1_HUMAN,DYNLL1,"Dynein light chain 1, cytoplasmic",2.26E+07,1.99E+07,2.69E+07,2.78E+07,3.28E+07,2.23E+07
P63172,DYLT1_HUMAN,DYNLT1,Dynein light chain Tctex-type 1,3.02E+06,3.28E+06,3.89E+06,4.22E+06,4.62E+06,3.25E+06
P63173,RL38_HUMAN,RPL38,Large ribosomal subunit protein eL38,5.77E+06,5.08E+06,1.11E+07,1.35E+07,1.44E+07,1.11E+07
P63208,SKP1_HUMAN,SKP1,S-phase kinase-associated protein 1,2.05E+07,7.44E+07,1.80E+07,1.55E+07,1.71E+07,2.04E+07
P63218,GBG5_HUMAN,GNG5,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,6.53E+06,8.26E+06,1.89E+07,8.67E+06,1.07E+07,1.03E+07
P63220,RS21_HUMAN,RPS21,Small ribosomal subunit protein eS21,2.20E+07,1.75E+07,1.61E+07,2.64E+07,2.06E+07,2.36E+07
P63241,IF5A1_HUMAN,EIF5A,Eukaryotic translation initiation factor 5A-1,1.16E+08,1.84E+08,9.18E+07,9.58E+07,1.01E+08,9.78E+07
P63244,RACK1_HUMAN,RACK1,Small ribosomal subunit protein RACK1,2.90E+07,2.42E+07,2.53E+07,4.03E+07,3.92E+07,3.70E+07
P63279,UBC9_HUMAN,UBE2I,SUMO-conjugating enzyme UBC9,2.53E+07,1.85E+07,1.42E+07,9.55E+06,9.95E+06,1.62E+07
P63302,SELW_HUMAN,SELENOW,Selenoprotein W,937582,,1.63E+06,693328,771414,846919
P63313,TYB10_HUMAN,TMSB10,Thymosin beta-10,3739.3,,,,,
P63316,TNNC1_HUMAN,TNNC1,"Troponin C, slow skeletal and cardiac muscles",,,186984,,,128391
P67775,PP2AA_HUMAN,PPP2CA,Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,8.77E+06,1.62E+07,8.04E+06,8.76E+06,9.56E+06,1.13E+07
P67809,YBOX1_HUMAN,YBX1,Y-box-binding protein 1,1.83E+07,1.30E+07,1.21E+07,9.57E+06,1.90E+07,1.29E+07
P67812,SC11A_HUMAN,SEC11A,Signal peptidase complex catalytic subunit SEC11A,39655.6,78594.9,,55528.3,34624.2,143558
P67870,CSK2B_HUMAN,CSNK2B,Casein kinase II subunit beta,999699,2.35E+06,4.07E+06,1.83E+06,5.94E+06,6.19E+06
P67936,TPM4_HUMAN,TPM4,Tropomyosin alpha-4 chain,1.30E+08,1.65E+08,7.29E+07,7.76E+07,6.92E+07,1.19E+08
P68032,ACTC_HUMAN,ACTC1,"Actin, alpha cardiac muscle 1",1.62E+06,598639,827999,619341,1.36E+06,4.44E+06
P68036,UB2L3_HUMAN,UBE2L3,Ubiquitin-conjugating enzyme E2 L3,5.37E+07,1.47E+08,4.50E+07,4.41E+07,4.81E+07,4.57E+07
P68133,ACTS_HUMAN,ACTA1,"Actin, alpha skeletal muscle",1.71E+09,2.66E+09,1.54E+09,1.49E+09,1.86E+09,1.90E+09
P68366,TBA4A_HUMAN,TUBA4A,Tubulin alpha-4A chain,2.53E+08,2.18E+08,2.96E+08,3.09E+08,2.75E+08,2.40E+08
P68371,TBB4B_HUMAN,TUBB4B,Tubulin beta-4B chain,7.16E+07,9.23E+07,1.56E+08,1.38E+08,1.52E+08,1.26E+08
P68400,CSK21_HUMAN,CSNK2A1,Casein kinase II subunit alpha,1.20E+07,3.22E+07,3.79E+07,1.56E+07,4.93E+07,5.35E+07
P68402,PA1B2_HUMAN,PAFAH1B2,Platelet-activating factor acetylhydrolase IB subunit alpha2,2.66E+07,3.96E+07,3.60E+07,2.04E+07,2.17E+07,2.17E+07
P68871,HBB_HUMAN,HBB,Hemoglobin subunit beta,2.69E+10,1.78E+11,8.06E+09,6.27E+09,1.40E+10,4.14E+10
P69849;Q15155;Q5JPE7,NOMO1_HUMAN;NOMO2_HUMAN;NOMO3_HUMAN,NOMO1;NOMO2;NOMO3,BOS complex subunit NOMO3,228806,,108197,287543,313871,594896
P69891,HBG1_HUMAN,HBG1,Hemoglobin subunit gamma-1,3.89E+07,2.63E+08,5.61E+06,1.56E+06,,1.06E+07
P69892,HBG2_HUMAN,HBG2,Hemoglobin subunit gamma-2,2.02E+08,1.77E+09,2.03E+07,1.08E+07,3.21E+07,1.06E+08
P69905,HBA_HUMAN,HBA1,Hemoglobin subunit alpha,2.59E+10,1.84E+11,1.05E+10,6.24E+09,1.54E+10,3.71E+10
P78310,CXAR_HUMAN,CXADR,Coxsackievirus and adenovirus receptor,190706,237048,311335,370534,156163,96395.1
P78314,3BP2_HUMAN,SH3BP2,SH3 domain-binding protein 2,19284,18715.9,,6570.6,,
P78316,NOP14_HUMAN,NOP14,Nucleolar protein 14,164819,,,46343.4,161611,90358.9
P78318,IGBP1_HUMAN,IGBP1,Immunoglobulin-binding protein 1,1.23E+06,1.93E+06,1.21E+06,1.24E+06,1.35E+06,1.40E+06
P78324,SHPS1_HUMAN,SIRPA,Tyrosine-protein phosphatase non-receptor type substrate 1,2.78E+06,7.76E+06,7.77E+06,3.70E+06,2.48E+06,1.41E+06
P78329;Q08477;Q9HBI6;Q9HCS2,CP4F2_HUMAN;CP4F3_HUMAN;CP4FB_HUMAN;CP4FC_HUMAN,CYP4F11;CYP4F12;CYP4F2;CYP4F3,Cytochrome P450 4F2,1995.96,,,2754.1,,
P78330,SERB_HUMAN,PSPH,Phosphoserine phosphatase,2.85E+06,4.10E+06,2.36E+06,1.14E+06,1.18E+06,1.60E+06
P78332,RBM6_HUMAN,RBM6,RNA-binding protein 6,620319,,369309,318878,520276,420281
P78344,IF4G2_HUMAN,EIF4G2,Eukaryotic translation initiation factor 4 gamma 2,4.12E+06,2.64E+06,2.30E+06,3.24E+06,3.95E+06,2.75E+06
P78346,RPP30_HUMAN,RPP30,Ribonuclease P protein subunit p30,14182.3,,8182.74,8957.3,8039.23,5035.96
P78347,GTF2I_HUMAN,GTF2I,General transcription factor II-I,9.08E+07,3.34E+07,4.35E+07,7.43E+07,7.91E+07,5.42E+07
P78356,PI42B_HUMAN,PIP4K2B,Phosphatidylinositol 5-phosphate 4-kinase type-2 beta,240219,,1.08E+06,233731,489736,1.01E+06
P78362,SRPK2_HUMAN,SRPK2,SRSF protein kinase 2,505840,,411949,350428,692057,665189
P78368;Q9Y6M4;Q9HCP0,KC1G1_HUMAN;KC1G2_HUMAN;KC1G3_HUMAN,CSNK1G1;CSNK1G2;CSNK1G3,Casein kinase I isoform gamma-2,588095,997460,1.39E+06,358914,477322,
P78369,CLD10_HUMAN,CLDN10,Claudin-10,,,200669,82970.6,,
P78371,TCPB_HUMAN,CCT2,T-complex protein 1 subunit beta,9.38E+06,1.20E+07,1.32E+07,2.43E+07,2.12E+07,1.81E+07
P78395,PRAME_HUMAN,PRAME,Melanoma antigen preferentially expressed in tumors,,,,138573,111514,
P78406,RAE1L_HUMAN,RAE1,mRNA export factor RAE1,313837,349443,247816,223538,189713,242839
P78417,GSTO1_HUMAN,GSTO1,Glutathione S-transferase omega-1,7.50E+07,3.13E+08,4.00E+07,4.53E+07,3.35E+07,6.21E+07
P78504,JAG1_HUMAN,JAG1,Protein jagged-1,,,,194218,303536,
P78509,RELN_HUMAN,RELN,Reelin,,30030.3,,,,
P78524,DEN2B_HUMAN,DENND2B,DENN domain-containing protein 2B,14364.7,,,8282.72,,4995.21
P78527,PRKDC_HUMAN,PRKDC,DNA-dependent protein kinase catalytic subunit,1.21E+07,9.81E+06,3.55E+06,2.10E+07,1.54E+07,1.26E+07
P78536,ADA17_HUMAN,ADAM17,Disintegrin and metalloproteinase domain-containing protein 17,2.05E+06,1.22E+06,1.21E+06,1.50E+06,1.50E+06,2.04E+06
P78537,BL1S1_HUMAN,BLOC1S1,Biogenesis of lysosome-related organelles complex 1 subunit 1,437772,,331598,1.04E+06,825313,767811
P78539,SRPX_HUMAN,SRPX,Sushi repeat-containing protein SRPX,,,570142,,,562643
P78552,I13R1_HUMAN,IL13RA1,Interleukin-13 receptor subunit alpha-1,125193,,224797,400467,225970,47133.3
P78559,MAP1A_HUMAN,MAP1A,Microtubule-associated protein 1A,1.43E+06,1.19E+06,1.83E+06,681561,4.43E+06,1.84E+06
P78560,CRADD_HUMAN,CRADD,Death domain-containing protein CRADD,154794,,96743.6,99289.8,141961,149243
P79483,DRB3_HUMAN,HLA-DRB3,"HLA class II histocompatibility antigen, DR beta 3 chain",6.46E+06,1.50E+07,1.25E+07,2.56E+07,5.29E+06,6.40E+06
P80108,PHLD_HUMAN,GPLD1,Phosphatidylinositol-glycan-specific phospholipase D,9.07E+06,2.07E+07,3.30E+07,1.26E+07,4.41E+07,2.34E+07
P80162,CXCL6_HUMAN,CXCL6,C-X-C motif chemokine 6,216153,,,536505,182863,238015
P80188,NGAL_HUMAN,LCN2,Neutrophil gelatinase-associated lipocalin,3.76E+08,1.85E+09,2.17E+08,1.49E+08,4.33E+08,1.52E+08
P80217,IN35_HUMAN,IFI35,Interferon-induced 35 kDa protein,8.08E+06,9.97E+06,5.86E+06,8.36E+06,9.52E+06,6.57E+06
P80303,NUCB2_HUMAN,NUCB2,Nucleobindin-2,2.89E+06,8.31E+06,1.28E+06,1.16E+07,3.66E+06,3.70E+06
P80404,GABT_HUMAN,ABAT,"4-aminobutyrate aminotransferase, mitochondrial",1287.31,2164.77,,,,4828.12
P80511,S10AC_HUMAN,S100A12,Protein S100-A12,9.56E+07,4.76E+08,7.29E+07,1.08E+08,1.58E+08,7.33E+07
P80723,BASP1_HUMAN,BASP1,Brain acid soluble protein 1,4.31E+07,4.96E+07,1.00E+08,5.62E+07,2.30E+07,5.38E+07
P80748;A0A075B6K5,LV321_HUMAN;LV39_HUMAN,IGLV3-21;IGLV3-9,Immunoglobulin lambda variable 3-9,4.50E+06,1.06E+07,1.54E+07,8.74E+06,1.28E+07,9.72E+06
P81605,DCD_HUMAN,DCD,Dermcidin,1.30E+07,4.35E+07,3.40E+07,1.55E+07,2.60E+07,3.38E+07
P81877,SSBP2_HUMAN,SSBP2,Single-stranded DNA-binding protein 2,6.87E+06,,3.39E+06,3.36E+06,3.54E+06,7.31E+06
P82094,TMF1_HUMAN,TMF1,TATA element modulatory factor,,,,,6993.35,
P82909,KGD4_HUMAN,KGD4,Alpha-ketoglutarate dehydrogenase component 4,7752.56,,5706.05,2268.89,,11663.2
P82933,RT09_HUMAN,MRPS9,Small ribosomal subunit protein uS9m,1.41E+06,,,,,
P82970,HMGN5_HUMAN,HMGN5,High mobility group nucleosome-binding domain-containing protein 5,4.28E+06,2.23E+06,6.02E+06,2.41E+06,4.06E+06,3.97E+06
P82979,SARNP_HUMAN,SARNP,SAP domain-containing ribonucleoprotein,4.78E+06,4.23E+06,6.69E+06,8.66E+06,6.39E+06,7.42E+06
P82980,RET5_HUMAN,RBP5,Retinol-binding protein 5,5965.22,,,,,
P83436,COG7_HUMAN,COG7,Conserved oligomeric Golgi complex subunit 7,151363,269487,189395,269597,343040,151260
P83731,RL24_HUMAN,RPL24,Large ribosomal subunit protein eL24,3.65E+06,4.47E+06,8.59E+06,6.37E+06,6.02E+06,5.14E+06
P83876,TXN4A_HUMAN,TXNL4A,Thioredoxin-like protein 4A,373072,245407,124670,200605,171102,176945
P83881,RL36A_HUMAN,RPL36A,Large ribosomal subunit protein eL42,7.70E+06,1.69E+07,1.58E+07,1.65E+07,1.03E+07,8.82E+06
P83916,CBX1_HUMAN,CBX1,Chromobox protein homolog 1,1.58E+07,5.30E+06,3.68E+06,7.75E+06,3.49E+06,5.44E+06
P84085,ARF5_HUMAN,ARF5,ADP-ribosylation factor 5,8.45E+06,1.50E+07,8.92E+06,1.55E+07,1.14E+07,1.17E+07
P84090,ERH_HUMAN,ERH,Enhancer of rudimentary homolog,2.13E+07,7.89E+06,6.63E+06,1.42E+07,1.82E+07,1.14E+07
P84095,RHOG_HUMAN,RHOG,Rho-related GTP-binding protein RhoG,4.36E+06,6.63E+06,5.49E+06,5.33E+06,5.53E+06,5.41E+06
P84098,RL19_HUMAN,RPL19,Large ribosomal subunit protein eL19,4.50E+06,6.31E+06,7.03E+06,6.34E+06,8.45E+06,6.28E+06
P84101,SERF2_HUMAN,SERF2,Small EDRK-rich factor 2,532062,,2.34E+06,2.93E+06,1.12E+06,1.58E+06
P84103,SRSF3_HUMAN,SRSF3,Serine/arginine-rich splicing factor 3,2.90E+07,1.43E+07,9.85E+06,1.59E+07,1.65E+07,1.74E+07
P84157,MXRA7_HUMAN,MXRA7,Matrix-remodeling-associated protein 7,984799,,939959,542360,430677,5.02E+06
P84243,H33_HUMAN,H3-3A,Histone H3.3,4.46E+07,3.58E+08,7.10E+06,9.14E+07,4.81E+07,3.35E+07
P85037,FOXK1_HUMAN,FOXK1,Forkhead box protein K1,265980,,921035,843694,726256,726109
P85298,RHG08_HUMAN,ARHGAP8,Rho GTPase-activating protein 8,,,,53195,64544.5,
P86790;P86791,CCZ1B_HUMAN;CCZ1_HUMAN,CCZ1;CCZ1B,Vacuolar fusion protein CCZ1 homolog B,259062,,166708,272468,294518,270276
P98066,TSG6_HUMAN,TNFAIP6,Tumor necrosis factor-inducible gene 6 protein,,,,4797.63,,
P98082,DAB2_HUMAN,DAB2,Disabled homolog 2,2.09E+06,6.75E+06,2.68E+06,2.13E+06,3.65E+06,4.02E+06
P98088,MUC5A_HUMAN,MUC5AC,Mucin-5AC,2.03E+07,2.38E+08,4.24E+06,4.67E+06,6.21E+07,3.66E+06
P98095,FBLN2_HUMAN,FBLN2,Fibulin-2,1.22E+06,,1.43E+06,1.02E+06,,776061
P98153,IDD_HUMAN,DGCR2,Integral membrane protein DGCR2/IDD,,126621,,5086.87,,
P98155,VLDLR_HUMAN,VLDLR,Very low-density lipoprotein receptor,176994,,134419,388715,209989,322335
P98160,PGBM_HUMAN,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein,4.90E+06,1.01E+07,1.06E+07,1.01E+07,1.08E+07,7.30E+06
P98170,XIAP_HUMAN,XIAP,E3 ubiquitin-protein ligase XIAP,144036,,157139,128550,141024,136483
P98171,RHG04_HUMAN,ARHGAP4,Rho GTPase-activating protein 4,17750.9,,,17456.6,20988,10208.7
P98172,EFNB1_HUMAN,EFNB1,Ephrin-B1,395010,695435,230996,361943,213372,356032
P98175,RBM10_HUMAN,RBM10,RNA-binding protein 10,1.41E+06,241194,676575,925938,968198,841747
P98179,RBM3_HUMAN,RBM3,RNA-binding protein 3,6.50E+06,6.58E+06,5.06E+06,4.60E+06,4.93E+06,5.24E+06
P98196,AT11A_HUMAN,ATP11A,Phospholipid-transporting ATPase IH,166807,,1.20E+06,234139,227976,322033
P99999,CYC_HUMAN,CYCS,Cytochrome c,5.46E+06,1.07E+07,3.40E+06,1.61E+06,2.35E+06,2.26E+06
Q00013,EM55_HUMAN,MPP1,55 kDa erythrocyte membrane protein,645395,1.24E+06,184067,206309,340423,1.28E+06
Q00059,TFAM_HUMAN,TFAM,"Transcription factor A, mitochondrial",6916.12,,,,,
Q00169,PIPNA_HUMAN,PITPNA,Phosphatidylinositol transfer protein alpha isoform,2.00E+07,6.10E+07,1.89E+07,1.60E+07,1.75E+07,1.84E+07
Q00325,S25A3_HUMAN,SLC25A3,Solute carrier family 25 member 3,824188,1.54E+06,391311,270061,,1.30E+06
Q00341,VIGLN_HUMAN,HDLBP,Vigilin,6.79E+07,4.49E+07,3.59E+07,6.03E+07,6.27E+07,5.96E+07
Q00403,TF2B_HUMAN,GTF2B,Transcription initiation factor IIB,150245,,88942.1,94006.2,164484,112841
Q00534,CDK6_HUMAN,CDK6,Cyclin-dependent kinase 6,1.24E+06,1.23E+06,1.59E+06,397903,455683,1.54E+06
Q00535,CDK5_HUMAN,CDK5,Cyclin-dependent kinase 5,573074,1.30E+06,1.10E+06,876879,727277,500165
Q00537,CDK17_HUMAN,CDK17,Cyclin-dependent kinase 17,3815.82,,5912.33,3251.05,,6351.82
Q00577,PURA_HUMAN,PURA,Transcriptional activator protein Pur-alpha,6.12E+06,6.60E+06,7.29E+06,4.77E+06,5.28E+06,1.10E+07
Q00587,BORG5_HUMAN,CDC42EP1,Cdc42 effector protein 1,16988.7,,16598.7,14773.2,8454.55,18568.7
Q00610,CLH1_HUMAN,CLTC,Clathrin heavy chain 1,3.60E+07,2.62E+07,2.93E+07,4.08E+07,3.36E+07,4.15E+07
Q00613,HSF1_HUMAN,HSF1,Heat shock factor protein 1,154644,,180772,173018,134745,116781
Q00653,NFKB2_HUMAN,NFKB2,Nuclear factor NF-kappa-B p100 subunit,3.17E+06,1.71E+06,2.55E+06,3.89E+06,3.87E+06,3.04E+06
Q00688,FKBP3_HUMAN,FKBP3,Peptidyl-prolyl cis-trans isomerase FKBP3,9.82E+06,1.01E+07,1.40E+07,1.37E+07,1.72E+07,1.29E+07
Q00722,PLCB2_HUMAN,PLCB2,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",1.79E+06,4.01E+06,1.31E+06,1.94E+06,1.72E+06,1.30E+06
Q00765,REEP5_HUMAN,REEP5,Receptor expression-enhancing protein 5,4.07E+06,3.77E+06,1.48E+06,3.49E+06,3.27E+06,5.30E+06
Q00796,DHSO_HUMAN,SORD,Sorbitol dehydrogenase,3.35E+07,8.80E+07,4.14E+07,3.62E+07,4.08E+07,3.94E+07
Q00839,HNRPU_HUMAN,HNRNPU,Heterogeneous nuclear ribonucleoprotein U,4.10E+07,1.92E+07,2.70E+07,3.85E+07,3.92E+07,4.64E+07
Q00978,IRF9_HUMAN,IRF9,Interferon regulatory factor 9,6.10E+07,8.10E+07,6.36E+07,5.07E+07,5.30E+07,3.79E+07
Q01081,U2AF1_HUMAN,U2AF1,Splicing factor U2AF 35 kDa subunit,5.39E+06,,1.81E+06,2.81E+06,5.68E+06,4.47E+06
Q01082,SPTB2_HUMAN,SPTBN1,"Spectrin beta chain, non-erythrocytic 1",3.44E+07,4.21E+07,1.80E+07,3.97E+07,3.14E+07,3.74E+07
Q01085,TIAR_HUMAN,TIAL1,Nucleolysin TIAR,1.45E+06,570540,917278,1.41E+06,1.32E+06,1.24E+06
Q01105,SET_HUMAN,SET,Protein SET,1.25E+08,7.23E+07,1.31E+08,1.33E+08,1.10E+08,1.06E+08
Q01130,SRSF2_HUMAN,SRSF2,Serine/arginine-rich splicing factor 2,3.84E+07,2.23E+07,2.56E+07,3.29E+07,3.59E+07,3.71E+07
Q01201,RELB_HUMAN,RELB,Transcription factor RelB,472204,,,1.09E+06,2.18E+06,1.72E+06
Q01415,GALK2_HUMAN,GALK2,N-acetylgalactosamine kinase,1.45E+06,3.13E+06,1.76E+06,1.43E+06,1.40E+06,1.28E+06
Q01432,AMPD3_HUMAN,AMPD3,AMP deaminase 3,1.07E+06,1.72E+06,516532,764194,1.01E+06,941349
Q01433,AMPD2_HUMAN,AMPD2,AMP deaminase 2,1.55E+06,2.07E+06,3.13E+06,1.46E+06,1.55E+06,3.10E+06
Q01459,DIAC_HUMAN,CTBS,Di-N-acetylchitobiase,6.68E+06,1.97E+07,1.45E+07,3.89E+06,6.86E+06,4.36E+06
Q01469,FABP5_HUMAN,FABP5,Fatty acid-binding protein 5,1.35E+08,1.03E+09,4.00E+07,7.35E+07,5.65E+07,3.71E+07
Q01484,ANK2_HUMAN,ANK2,Ankyrin-2,2543.2,,6728.66,3323.02,4823.02,7142.98
Q01518,CAP1_HUMAN,CAP1,Adenylyl cyclase-associated protein 1,6.52E+07,1.38E+08,4.79E+07,6.58E+07,6.26E+07,5.99E+07
Q01581,HMCS1_HUMAN,HMGCS1,"Hydroxymethylglutaryl-CoA synthase, cytoplasmic",2.33E+06,4.65E+06,1.76E+06,2.03E+06,3.54E+06,4.29E+06
Q01628,IFM3_HUMAN,IFITM3,Interferon-induced transmembrane protein 3,3.18E+06,5.33E+06,9.37E+06,6.67E+06,5.90E+06,5.36E+06
Q01629,IFM2_HUMAN,IFITM2,Interferon-induced transmembrane protein 2,,,1.28E+06,389830,684029,
Q01650,LAT1_HUMAN,SLC7A5,Large neutral amino acids transporter small subunit 1,299093,1.31E+06,,1.36E+06,813878,
Q01658,NC2B_HUMAN,DR1,Protein Dr1,1.43E+06,,1.30E+06,941538,1.02E+06,1.79E+06
Q01780,EXOSX_HUMAN,EXOSC10,Exosome complex component 10,2.15E+06,,1.04E+06,993344,1.58E+06,1.67E+06
Q01804,OTUD4_HUMAN,OTUD4,OTU domain-containing protein 4,210524,,158403,175991,380693,188584
Q01813,PFKAP_HUMAN,PFKP,"ATP-dependent 6-phosphofructokinase, platelet type",5.81E+06,7.93E+06,5.97E+06,1.05E+07,9.20E+06,6.26E+06
Q01814,AT2B2_HUMAN,ATP2B2,Plasma membrane calcium-transporting ATPase 2,,,607166,,,
Q01831,XPC_HUMAN,XPC,DNA repair protein complementing XP-C cells,6802.93,,,,,
Q01844,EWS_HUMAN,EWSR1,RNA-binding protein EWS,2.10E+07,9.04E+06,8.45E+06,1.51E+07,1.13E+07,1.26E+07
Q01968,OCRL_HUMAN,OCRL,Inositol polyphosphate 5-phosphatase OCRL,215263,,196951,173748,157714,398097
Q01970,PLCB3_HUMAN,PLCB3,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3",5886.71,,24763.5,14643.2,22396.8,22519.7
Q01973,ROR1_HUMAN,ROR1,Inactive tyrosine-protein kinase transmembrane receptor ROR1,,,31644.8,20414.4,,
Q01974,ROR2_HUMAN,ROR2,Tyrosine-protein kinase transmembrane receptor ROR2,19513,16813.9,16451.9,13818.9,16988.1,23969.3
Q01995,TAGL_HUMAN,TAGLN,Transgelin,4.77E+07,4.59E+07,4.39E+06,1.83E+07,1.66E+07,3.32E+07
Q02083,NAAA_HUMAN,NAAA,N-acylethanolamine-hydrolyzing acid amidase,490830,777129,,219626,1.22E+06,488356
Q02094,RHAG_HUMAN,RHAG,Ammonium transporter Rh type A,925918,8.78E+06,,,,2.09E+06
Q02108,GCYA1_HUMAN,GUCY1A1,Guanylate cyclase soluble subunit alpha-1,,,,1298.87,1.63E+06,4307.97
Q02153,GCYB1_HUMAN,GUCY1B1,Guanylate cyclase soluble subunit beta-1,112387,,304963,193768,646357,861202
Q02218,ODO1_HUMAN,OGDH,2-oxoglutarate dehydrogenase complex component E1,391788,706685,266205,229845,279195,499240
Q02241,KIF23_HUMAN,KIF23,Kinesin-like protein KIF23,,,861055,2.11E+06,2.01E+06,
Q02252,MMSA_HUMAN,ALDH6A1,"Methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial",7.18E+06,4.30E+06,3.79E+06,4.35E+06,2.33E+06,7.60E+06
Q02388,CO7A1_HUMAN,COL7A1,Collagen alpha-1(VII) chain,,,,89456.7,,
Q02410,APBA1_HUMAN,APBA1,Amyloid-beta A4 precursor protein-binding family A member 1,962900,597611,,,,
Q02413,DSG1_HUMAN,DSG1,Desmoglein-1,1.50E+06,2.30E+06,1.26E+06,462392,790610,827838
Q02447,SP3_HUMAN,SP3,Transcription factor Sp3,74461.5,,36209.5,52938.3,43655.4,
Q02487,DSC2_HUMAN,DSC2,Desmocollin-2,4.18E+06,5.08E+06,6.32E+06,4.99E+06,3.47E+06,2.60E+06
Q02543,RL18A_HUMAN,RPL18A,Large ribosomal subunit protein eL20,7.38E+06,1.21E+07,1.38E+07,1.87E+07,1.89E+07,1.68E+07
Q02742,GCNT1_HUMAN,GCNT1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",2.33E+06,1.78E+07,7.47E+06,1.84E+07,4.14E+06,758203
Q02747,GUC2A_HUMAN,GUCA2A,Guanylin,3380.96,,8749.2,2046.28,6153.42,5809.98
Q02750,MP2K1_HUMAN,MAP2K1,Dual specificity mitogen-activated protein kinase kinase 1,3.26E+06,5.76E+06,2.41E+06,3.04E+06,2.52E+06,2.78E+06
Q02790,FKBP4_HUMAN,FKBP4,Peptidyl-prolyl cis-trans isomerase FKBP4,1.59E+07,1.30E+07,1.76E+07,2.15E+07,1.78E+07,1.69E+07
Q02809,PLOD1_HUMAN,PLOD1,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",1.10E+06,1.67E+06,1.08E+06,2.92E+06,1.38E+06,1.25E+06
Q02818,NUCB1_HUMAN,NUCB1,Nucleobindin-1,1.40E+07,2.88E+07,7.38E+06,2.39E+07,8.74E+06,1.46E+07
Q02878,RL6_HUMAN,RPL6,Large ribosomal subunit protein eL6,1.37E+07,2.41E+07,1.77E+07,2.32E+07,2.55E+07,1.88E+07
Q02880,TOP2B_HUMAN,TOP2B,DNA topoisomerase 2-beta,575365,1.22E+06,289617,228575,989957,529443
Q02952,AKA12_HUMAN,AKAP12,A-kinase anchor protein 12,2.38E+06,1.72E+06,3.55E+06,1.10E+06,1.38E+06,6.25E+06
Q02978,M2OM_HUMAN,SLC25A11,Mitochondrial 2-oxoglutarate/malate carrier protein,17714.8,67231.4,,,,13767.5
Q02985,FHR3_HUMAN,CFHR3,Complement factor H-related protein 3,3.25E+06,1.23E+07,1.58E+07,6.15E+06,1.64E+07,1.66E+07
Q03001,DYST_HUMAN,DST,Dystonin,1.46E+06,,2.07E+06,2.04E+06,1.58E+06,2.51E+06
Q03112,MECOM_HUMAN,MECOM,Histone-lysine N-methyltransferase MECOM,206108,,238223,52149.4,176726,
Q03135,CAV1_HUMAN,CAV1,Caveolin-1,6.02E+06,1.15E+07,2.56E+06,2.09E+06,4.72E+06,3.48E+07
Q03154,ACY1_HUMAN,ACY1,Aminoacylase-1,3.87E+06,4.73E+06,9.23E+06,4.10E+06,3.90E+06,4.26E+06
Q03167,TGBR3_HUMAN,TGFBR3,Transforming growth factor beta receptor type 3,195387,166374,228096,145947,86570.1,214597
Q03169,TNAP2_HUMAN,TNFAIP2,Tumor necrosis factor alpha-induced protein 2,590962,1.10E+06,495116,491830,974759,720249
Q03188,CENPC_HUMAN,CENPC,Centromere protein C,883441,,,,,
Q03252,LMNB2_HUMAN,LMNB2,Lamin-B2,1.67E+07,1.06E+07,1.70E+06,1.92E+06,4.80E+06,3.93E+06
Q03393,PTPS_HUMAN,PTS,6-pyruvoyl tetrahydrobiopterin synthase,2562.38,,,6783.65,,4779.2
Q03405,UPAR_HUMAN,PLAUR,Urokinase plasminogen activator surface receptor,2.19E+06,3.05E+07,1.27E+07,1.79E+07,9.61E+06,2.80E+06
